frame,method,probeCount,samples,build_s,dispatch_s,readback_s,total_s
1,ImportanceSampling,9,512,0.016021,0.876390,0.017756,0.911247
31,ImportanceSampling,9,512,0.000011,0.000005,0.007819,0.007846
61,ImportanceSampling,9,512,0.000012,0.000007,0.007446,0.007474
91,ImportanceSampling,9,512,0.000010,0.000005,0.007430,0.007457
121,ImportanceSampling,9,512,0.000011,0.000005,0.007512,0.007537
151,ImportanceSampling,9,512,0.000011,0.000007,0.006977,0.007006
181,ImportanceSampling,9,512,0.000016,0.000005,0.005710,0.005756
211,ImportanceSampling,9,512,0.000011,0.000005,0.007551,0.007579
241,ImportanceSampling,9,512,0.000011,0.000005,0.007182,0.007211
271,ImportanceSampling,9,512,0.000010,0.000005,0.007341,0.007366
301,ImportanceSampling,9,512,0.000012,0.000006,0.006922,0.006956
331,ImportanceSampling,9,512,0.000009,0.000005,0.007949,0.007973
361,ImportanceSampling,9,512,0.000010,0.000005,0.006478,0.006510
391,ImportanceSampling,9,512,0.000011,0.000006,0.007447,0.007480
421,ImportanceSampling,9,512,0.000014,0.000005,0.007330,0.007360
451,ImportanceSampling,9,512,0.000010,0.000005,0.007003,0.007035
481,ImportanceSampling,9,512,0.000009,0.000005,0.008007,0.008037
511,ImportanceSampling,9,512,0.000011,0.000005,0.007974,0.008000
541,ImportanceSampling,9,512,0.000010,0.000005,0.008298,0.008323
571,ImportanceSampling,9,512,0.000009,0.000005,0.007141,0.007165
601,ImportanceSampling,9,512,0.000010,0.000005,0.007773,0.007799
631,ImportanceSampling,9,512,0.000010,0.000005,0.007950,0.007976
661,ImportanceSampling,9,512,0.000010,0.000005,0.005189,0.005214
691,ImportanceSampling,9,512,0.000010,0.000005,0.005232,0.005263
721,ImportanceSampling,9,512,0.000010,0.000005,0.005085,0.005109
751,ImportanceSampling,9,512,0.000011,0.000005,0.005028,0.005060
781,ImportanceSampling,9,512,0.000016,0.000006,0.006386,0.006420
811,ImportanceSampling,9,512,0.000009,0.000004,0.007636,0.007663
841,ImportanceSampling,9,512,0.000014,0.000007,0.012009,0.012042
871,ImportanceSampling,9,512,0.000011,0.000005,0.009912,0.009942
901,ImportanceSampling,9,512,0.000013,0.000005,0.006276,0.006307
931,ImportanceSampling,9,512,0.000010,0.000005,0.005014,0.005043
961,ImportanceSampling,9,512,0.000011,0.000006,0.005065,0.005095
991,ImportanceSampling,9,512,0.000010,0.000005,0.006226,0.006255
1021,ImportanceSampling,9,512,0.000010,0.000004,0.011996,0.012026
1051,ImportanceSampling,9,512,0.000011,0.000005,0.011926,0.011955
1081,ImportanceSampling,9,512,0.000010,0.000005,0.008295,0.008323
1111,ImportanceSampling,9,512,0.000010,0.000005,0.008266,0.008293
1141,ImportanceSampling,9,512,0.000011,0.000006,0.010421,0.010453
1171,ImportanceSampling,9,512,0.000011,0.000006,0.008535,0.008565
1201,ImportanceSampling,9,512,0.000011,0.000005,0.007762,0.007791
1231,ImportanceSampling,9,512,0.000010,0.000005,0.005958,0.005985
1261,ImportanceSampling,9,512,0.000010,0.000005,0.005176,0.005203
1291,ImportanceSampling,9,512,0.000011,0.000006,0.004968,0.004997
1321,ImportanceSampling,9,512,0.000011,0.000005,0.005413,0.005442
1351,ImportanceSampling,9,512,0.000012,0.000005,0.005271,0.005300
1381,ImportanceSampling,9,512,0.000015,0.000005,0.005497,0.005527
1411,ImportanceSampling,9,512,0.000011,0.000005,0.006569,0.006599
1441,ImportanceSampling,9,512,0.000010,0.000005,0.007606,0.007637
1471,ImportanceSampling,9,512,0.000010,0.000005,0.008066,0.008096
1501,ImportanceSampling,9,512,0.000011,0.000006,0.008134,0.008168
1531,ImportanceSampling,9,512,0.000010,0.000006,0.005173,0.005199
1561,ImportanceSampling,9,512,0.000014,0.000005,0.006689,0.006720
1591,ImportanceSampling,9,512,0.000010,0.000005,0.007893,0.007923
1621,ImportanceSampling,9,512,0.000012,0.000005,0.007953,0.007981
1651,ImportanceSampling,9,512,0.000011,0.000006,0.005060,0.005089
1681,ImportanceSampling,9,512,0.000010,0.000005,0.005278,0.005310
1711,ImportanceSampling,9,512,0.000011,0.000005,0.007725,0.007757
1741,ImportanceSampling,9,512,0.000010,0.000005,0.011097,0.011124
1771,ImportanceSampling,9,512,0.000012,0.000005,0.009611,0.009645
1801,ImportanceSampling,9,512,0.000012,0.000005,0.005863,0.005895
1831,ImportanceSampling,9,512,0.000010,0.000005,0.005806,0.005835
1861,ImportanceSampling,9,512,0.000010,0.000005,0.006618,0.006644
1891,ImportanceSampling,9,512,0.000010,0.000006,0.012768,0.012797
1921,ImportanceSampling,9,512,0.000013,0.000005,0.011073,0.011105
1951,ImportanceSampling,9,512,0.000014,0.000004,0.008926,0.008957
1981,ImportanceSampling,9,512,0.000011,0.000005,0.006681,0.006710
2011,ImportanceSampling,9,512,0.000010,0.000005,0.006851,0.006879
2041,ImportanceSampling,9,512,0.000010,0.000005,0.008628,0.008654
2071,ImportanceSampling,9,512,0.000011,0.000005,0.009657,0.009688
2101,ImportanceSampling,9,512,0.000011,0.000005,0.010602,0.010632
2131,ImportanceSampling,9,512,0.000027,0.000006,0.005741,0.005792
2161,ImportanceSampling,9,512,0.000012,0.000008,0.006310,0.006342
2191,ImportanceSampling,9,512,0.000014,0.000005,0.005723,0.005756
2221,ImportanceSampling,9,512,0.000012,0.000006,0.005492,0.005525
2251,ImportanceSampling,9,512,0.000013,0.000007,0.007957,0.007996
2281,ImportanceSampling,9,512,0.000012,0.000005,0.010841,0.010869
2311,ImportanceSampling,9,512,0.000012,0.000008,0.006279,0.006311
