frame,probeCount,dispatch_s,readback_s,total_s
1,9,0.000187,2.467760,2.468869
31,9,0.000011,2.475763,2.475791
61,9,0.000011,2.482455,2.482479
91,9,0.000011,2.453536,2.453563
121,9,0.000010,2.445366,2.445390
151,9,0.000010,2.450474,2.450499
181,9,0.000011,2.469594,2.469619
211,9,0.000012,2.462851,2.462876
241,9,0.000011,2.445152,2.445176
271,9,0.000011,2.453930,2.453954
301,9,0.000010,2.444714,2.444737
331,9,0.000011,2.445644,2.445669
361,9,0.000010,2.441047,2.441071
391,9,0.000010,2.445283,2.445308
421,9,0.000011,2.456700,2.456723
