frame,method,probeCount,samples,build_s,dispatch_s,readback_s,total_s
1,ImportanceSampling,9,512,0.000436,0.000114,0.002466,0.003607
31,ImportanceSampling,9,512,0.000011,0.000006,0.000101,0.000126
61,ImportanceSampling,9,512,0.000011,0.000005,0.000089,0.000113
91,ImportanceSampling,9,512,0.000010,0.000005,0.000044,0.000065
121,ImportanceSampling,9,512,0.000010,0.000005,0.000087,0.000110
151,ImportanceSampling,9,512,0.000009,0.000005,0.000097,0.000119
181,ImportanceSampling,9,512,0.000009,0.000005,0.000044,0.000065
211,ImportanceSampling,9,512,0.000014,0.000005,0.000047,0.000074
241,ImportanceSampling,9,512,0.000009,0.000005,0.000107,0.000128
271,ImportanceSampling,9,512,0.000011,0.000005,0.000154,0.000177
301,ImportanceSampling,9,512,0.000009,0.000005,0.000142,0.000163
331,ImportanceSampling,9,512,0.000009,0.000005,0.000126,0.000147
361,ImportanceSampling,9,512,0.000009,0.000005,0.000273,0.000294
391,ImportanceSampling,9,512,0.000010,0.000005,0.000175,0.000197
421,ImportanceSampling,9,512,0.000012,0.000005,0.000338,0.000362
451,ImportanceSampling,9,512,0.000010,0.000005,0.000304,0.000326
481,ImportanceSampling,9,512,0.000010,0.000005,0.000058,0.000080
511,ImportanceSampling,9,512,0.000011,0.000005,0.000054,0.000080
541,ImportanceSampling,9,512,0.000011,0.000005,0.000050,0.000073
571,ImportanceSampling,9,512,0.000010,0.000005,0.000408,0.000430
601,ImportanceSampling,9,512,0.000009,0.000005,0.000171,0.000192
631,ImportanceSampling,9,512,0.000009,0.000005,0.000297,0.000318
661,ImportanceSampling,9,512,0.000010,0.000005,0.000194,0.000216
691,ImportanceSampling,9,512,0.000009,0.000005,0.000224,0.000245
721,ImportanceSampling,9,512,0.000009,0.000005,0.000219,0.000240
751,ImportanceSampling,9,512,0.000010,0.000005,0.000228,0.000250
781,ImportanceSampling,9,512,0.000009,0.000005,0.000320,0.000341
811,ImportanceSampling,9,512,0.000009,0.000005,0.000421,0.000442
841,ImportanceSampling,9,512,0.000009,0.000005,0.000409,0.000433
871,ImportanceSampling,9,512,0.000009,0.000004,0.000406,0.000426
901,ImportanceSampling,9,512,0.000010,0.000005,0.000388,0.000411
931,ImportanceSampling,9,512,0.000009,0.000005,0.000412,0.000434
961,ImportanceSampling,9,512,0.000009,0.000005,0.000379,0.000399
991,ImportanceSampling,9,512,0.000009,0.000005,0.000352,0.000373
1021,ImportanceSampling,9,512,0.000009,0.000005,0.000390,0.000411
1051,ImportanceSampling,9,512,0.000009,0.000005,0.000460,0.000482
1081,ImportanceSampling,9,512,0.000010,0.000004,0.000409,0.000431
1111,ImportanceSampling,9,512,0.000009,0.000005,0.000469,0.000490
1141,ImportanceSampling,9,512,0.000010,0.000005,0.000527,0.000548
1171,ImportanceSampling,9,512,0.000009,0.000005,0.000410,0.000432
1201,ImportanceSampling,9,512,0.000009,0.000005,0.000349,0.000370
1231,ImportanceSampling,9,512,0.000011,0.000004,0.000511,0.000534
1261,ImportanceSampling,9,512,0.000010,0.000004,0.000401,0.000422
1291,ImportanceSampling,9,512,0.000010,0.000005,0.000378,0.000400
1321,ImportanceSampling,9,512,0.000009,0.000004,0.000551,0.000578
1351,ImportanceSampling,9,512,0.000009,0.000005,0.000460,0.000481
1381,ImportanceSampling,9,512,0.000010,0.000005,0.000334,0.000355
1411,ImportanceSampling,9,512,0.000009,0.000005,0.000549,0.000571
1441,ImportanceSampling,9,512,0.000010,0.000004,0.000656,0.000678
1471,ImportanceSampling,9,512,0.000009,0.000005,0.000381,0.000402
1501,ImportanceSampling,9,512,0.000009,0.000004,0.000460,0.000481
1531,ImportanceSampling,9,512,0.000009,0.000005,0.000471,0.000493
1561,ImportanceSampling,9,512,0.000010,0.000005,0.000489,0.000510
1591,ImportanceSampling,9,512,0.000009,0.000006,0.000361,0.000384
1621,ImportanceSampling,9,512,0.000009,0.000005,0.000496,0.000516
1651,ImportanceSampling,9,512,0.000009,0.000005,0.000643,0.000664
1681,ImportanceSampling,9,512,0.000009,0.000005,0.000360,0.000381
1711,ImportanceSampling,9,512,0.000010,0.000005,0.000424,0.000447
1741,ImportanceSampling,9,512,0.000010,0.000005,0.000483,0.000512
1771,ImportanceSampling,9,512,0.000009,0.000005,0.000339,0.000359
1801,ImportanceSampling,9,512,0.000009,0.000004,0.000414,0.000435
1831,ImportanceSampling,9,512,0.000010,0.000005,0.000652,0.000679
1861,ImportanceSampling,9,512,0.000009,0.000005,0.000554,0.000583
1891,ImportanceSampling,9,512,0.000009,0.000005,0.000338,0.000357
1921,ImportanceSampling,9,512,0.000008,0.000004,0.000350,0.000370
1951,ImportanceSampling,9,512,0.000012,0.000005,0.000432,0.000458
1981,ImportanceSampling,9,512,0.000010,0.000005,0.000404,0.000426
2011,ImportanceSampling,9,512,0.000009,0.000005,0.000422,0.000443
2041,ImportanceSampling,9,512,0.000010,0.000005,0.000507,0.000531
2071,ImportanceSampling,9,512,0.000009,0.000005,0.000408,0.000430
2101,ImportanceSampling,9,512,0.000010,0.000005,0.000416,0.000438
2131,ImportanceSampling,9,512,0.000010,0.000005,0.000561,0.000590
2161,ImportanceSampling,9,512,0.000009,0.000004,0.000391,0.000412
2191,ImportanceSampling,9,512,0.000009,0.000005,0.000428,0.000450
2221,ImportanceSampling,9,512,0.000009,0.000005,0.000661,0.000688
2251,ImportanceSampling,9,512,0.000009,0.000005,0.000452,0.000474
2281,ImportanceSampling,9,512,0.000011,0.000005,0.000446,0.000471
2311,ImportanceSampling,9,512,0.000009,0.000005,0.000551,0.000572
2341,ImportanceSampling,9,512,0.000009,0.000005,0.000589,0.000610
2371,ImportanceSampling,9,512,0.000009,0.000005,0.000407,0.000428
2401,ImportanceSampling,9,512,0.000009,0.000005,0.000462,0.000483
2431,ImportanceSampling,9,512,0.000009,0.000005,0.000641,0.000664
2461,ImportanceSampling,9,512,0.000009,0.000005,0.000427,0.000450
2491,ImportanceSampling,9,512,0.000010,0.000005,0.000657,0.000685
2521,ImportanceSampling,9,512,0.000017,0.000004,0.000536,0.000565
2551,ImportanceSampling,9,512,0.000010,0.000005,0.000305,0.000326
2581,ImportanceSampling,9,512,0.000010,0.000005,0.000445,0.000467
2611,ImportanceSampling,9,512,0.000010,0.000005,0.000464,0.000486
2641,ImportanceSampling,9,512,0.000010,0.000005,0.000381,0.000404
2671,ImportanceSampling,9,512,0.000009,0.000005,0.000390,0.000412
2701,ImportanceSampling,9,512,0.000009,0.000005,0.000436,0.000457
2731,ImportanceSampling,9,512,0.000010,0.000005,0.000417,0.000439
2761,ImportanceSampling,9,512,0.000009,0.000005,0.000327,0.000349
2791,ImportanceSampling,9,512,0.000013,0.000005,0.000530,0.000562
2821,ImportanceSampling,9,512,0.000010,0.000005,0.000398,0.000419
2851,ImportanceSampling,9,512,0.000009,0.000005,0.000394,0.000415
2881,ImportanceSampling,9,512,0.000010,0.000005,0.000524,0.000552
2911,ImportanceSampling,9,512,0.000010,0.000005,0.000368,0.000390
2941,ImportanceSampling,9,512,0.000010,0.000005,0.000294,0.000315
2971,ImportanceSampling,9,512,0.000010,0.000005,0.000575,0.000603
3001,ImportanceSampling,9,512,0.000009,0.000005,0.000335,0.000356
3031,ImportanceSampling,9,512,0.000009,0.000005,0.000347,0.000368
3061,ImportanceSampling,9,512,0.000011,0.000005,0.000501,0.000524
3091,ImportanceSampling,9,512,0.000010,0.000005,0.000455,0.000477
3121,ImportanceSampling,9,512,0.000009,0.000005,0.000387,0.000408
3151,ImportanceSampling,9,512,0.000009,0.000005,0.000456,0.000477
3181,ImportanceSampling,9,512,0.000009,0.000005,0.000670,0.000691
3211,ImportanceSampling,9,512,0.000009,0.000005,0.000323,0.000344
3241,ImportanceSampling,9,512,0.000009,0.000005,0.000459,0.000481
3271,ImportanceSampling,9,512,0.000009,0.000004,0.000593,0.000614
3301,ImportanceSampling,9,512,0.000009,0.000005,0.000404,0.000425
3331,ImportanceSampling,9,512,0.000009,0.000004,0.000364,0.000386
3361,ImportanceSampling,9,512,0.000013,0.000004,0.000577,0.000607
3391,ImportanceSampling,9,512,0.000009,0.000005,0.000439,0.000461
3421,ImportanceSampling,9,512,0.000012,0.000004,0.000447,0.000471
3451,ImportanceSampling,9,512,0.000009,0.000005,0.000477,0.000498
3481,ImportanceSampling,9,512,0.000009,0.000005,0.000452,0.000474
3511,ImportanceSampling,9,512,0.000010,0.000004,0.000416,0.000439
3541,ImportanceSampling,9,512,0.000009,0.000004,0.000667,0.000694
3571,ImportanceSampling,9,512,0.000009,0.000005,0.000508,0.000530
3601,ImportanceSampling,9,512,0.000009,0.000005,0.000410,0.000432
3631,ImportanceSampling,9,512,0.000009,0.000005,0.000418,0.000440
3661,ImportanceSampling,9,512,0.000009,0.000005,0.000564,0.000586
3691,ImportanceSampling,9,512,0.000009,0.000004,0.000406,0.000427
3721,ImportanceSampling,9,512,0.000010,0.000005,0.000338,0.000361
3751,ImportanceSampling,9,512,0.000010,0.000005,0.000443,0.000465
3781,ImportanceSampling,9,512,0.000009,0.000005,0.000398,0.000419
3811,ImportanceSampling,9,512,0.000010,0.000005,0.000330,0.000352
3841,ImportanceSampling,9,512,0.000010,0.000004,0.000681,0.000709
3871,ImportanceSampling,9,512,0.000010,0.000005,0.000426,0.000448
3901,ImportanceSampling,9,512,0.000010,0.000005,0.000420,0.000443
3931,ImportanceSampling,9,512,0.000010,0.000005,0.000548,0.000576
3961,ImportanceSampling,9,512,0.000009,0.000005,0.000414,0.000435
3991,ImportanceSampling,9,512,0.000009,0.000005,0.000429,0.000450
4021,ImportanceSampling,9,512,0.000010,0.000005,0.000511,0.000534
4051,ImportanceSampling,9,512,0.000009,0.000005,0.000388,0.000409
4081,ImportanceSampling,9,512,0.000011,0.000004,0.000311,0.000333
4111,ImportanceSampling,9,512,0.000010,0.000005,0.000575,0.000603
4141,ImportanceSampling,9,512,0.000009,0.000005,0.000368,0.000388
4171,ImportanceSampling,9,512,0.000009,0.000005,0.000333,0.000353
4201,ImportanceSampling,9,512,0.000010,0.000005,0.000496,0.000518
4231,ImportanceSampling,9,512,0.000009,0.000004,0.000591,0.000618
4261,ImportanceSampling,9,512,0.000009,0.000005,0.000348,0.000368
4291,ImportanceSampling,9,512,0.000010,0.000005,0.000403,0.000425
4321,ImportanceSampling,9,512,0.000012,0.000005,0.000618,0.000647
4351,ImportanceSampling,9,512,0.000010,0.000005,0.000407,0.000430
4381,ImportanceSampling,9,512,0.000010,0.000005,0.000372,0.000393
4411,ImportanceSampling,9,512,0.000011,0.000004,0.000477,0.000500
4441,ImportanceSampling,9,512,0.000009,0.000005,0.000558,0.000579
4471,ImportanceSampling,9,512,0.000010,0.000004,0.000342,0.000362
4501,ImportanceSampling,9,512,0.000009,0.000005,0.000478,0.000499
4531,ImportanceSampling,9,512,0.000012,0.000004,0.000590,0.000613
4561,ImportanceSampling,9,512,0.000010,0.000005,0.000408,0.000430
4591,ImportanceSampling,9,512,0.000009,0.000005,0.000348,0.000370
4621,ImportanceSampling,9,512,0.000010,0.000005,0.000527,0.000550
4651,ImportanceSampling,9,512,0.000009,0.000005,0.000388,0.000410
4681,ImportanceSampling,9,512,0.000009,0.000004,0.000406,0.000427
4711,ImportanceSampling,9,512,0.000010,0.000005,0.000511,0.000534
4741,ImportanceSampling,9,512,0.000009,0.000005,0.000341,0.000361
4771,ImportanceSampling,9,512,0.000011,0.000004,0.000316,0.000338
4801,ImportanceSampling,9,512,0.000010,0.000005,0.000406,0.000428
4831,ImportanceSampling,9,512,0.000010,0.000005,0.000507,0.000530
4861,ImportanceSampling,9,512,0.000009,0.000005,0.000505,0.000526
4891,ImportanceSampling,9,512,0.000010,0.000005,0.000336,0.000358
4921,ImportanceSampling,9,512,0.000010,0.000005,0.000513,0.000535
4951,ImportanceSampling,9,512,0.000009,0.000005,0.000432,0.000454
4981,ImportanceSampling,9,512,0.000009,0.000005,0.000319,0.000340
5011,ImportanceSampling,9,512,0.000009,0.000005,0.000504,0.000526
5041,ImportanceSampling,9,512,0.000009,0.000005,0.000624,0.000645
5071,ImportanceSampling,9,512,0.000010,0.000005,0.000383,0.000406
5101,ImportanceSampling,9,512,0.000009,0.000005,0.000327,0.000348
5131,ImportanceSampling,9,512,0.000009,0.000005,0.000681,0.000710
5161,ImportanceSampling,9,512,0.000009,0.000005,0.000352,0.000372
5191,ImportanceSampling,9,512,0.000010,0.000005,0.000433,0.000456
5221,ImportanceSampling,9,512,0.000010,0.000005,0.000503,0.000531
5251,ImportanceSampling,9,512,0.000009,0.000005,0.000233,0.000254
5281,ImportanceSampling,9,512,0.000009,0.000005,0.000341,0.000362
5311,ImportanceSampling,9,512,0.000010,0.000005,0.000671,0.000699
5341,ImportanceSampling,9,512,0.000010,0.000005,0.000492,0.000514
5371,ImportanceSampling,9,512,0.000012,0.000004,0.000318,0.000342
5401,ImportanceSampling,9,512,0.000009,0.000005,0.000501,0.000523
5431,ImportanceSampling,9,512,0.000010,0.000005,0.000630,0.000652
5461,ImportanceSampling,9,512,0.000010,0.000005,0.000328,0.000350
5491,ImportanceSampling,9,512,0.000010,0.000005,0.000367,0.000389
5521,ImportanceSampling,9,512,0.000009,0.000005,0.000444,0.000465
5551,ImportanceSampling,9,512,0.000010,0.000005,0.000279,0.000301
5581,ImportanceSampling,9,512,0.000010,0.000004,0.000406,0.000428
5611,ImportanceSampling,9,512,0.000009,0.000005,0.000531,0.000553
5641,ImportanceSampling,9,512,0.000010,0.000005,0.000328,0.000348
5671,ImportanceSampling,9,512,0.000011,0.000005,0.000435,0.000458
5701,ImportanceSampling,9,512,0.000010,0.000004,0.000403,0.000425
5731,ImportanceSampling,9,512,0.000010,0.000005,0.000550,0.000579
5761,ImportanceSampling,9,512,0.000009,0.000005,0.000385,0.000407
5791,ImportanceSampling,9,512,0.000009,0.000005,0.000381,0.000402
5821,ImportanceSampling,9,512,0.000010,0.000005,0.000465,0.000487
5851,ImportanceSampling,9,512,0.000010,0.000005,0.000401,0.000424
5881,ImportanceSampling,9,512,0.000010,0.000005,0.000408,0.000429
5911,ImportanceSampling,9,512,0.000009,0.000005,0.000434,0.000455
5941,ImportanceSampling,9,512,0.000009,0.000005,0.000420,0.000442
5971,ImportanceSampling,9,512,0.000010,0.000005,0.000379,0.000401
6001,ImportanceSampling,9,512,0.000010,0.000005,0.000563,0.000590
6031,ImportanceSampling,9,512,0.000010,0.000004,0.000531,0.000553
6061,ImportanceSampling,9,512,0.000009,0.000005,0.000324,0.000345
6091,ImportanceSampling,9,512,0.000014,0.000005,0.000308,0.000333
6121,ImportanceSampling,9,512,0.000011,0.000005,0.000324,0.000347
6151,ImportanceSampling,9,512,0.000011,0.000005,0.000293,0.000318
6181,ImportanceSampling,9,512,0.000010,0.000006,0.000370,0.000393
6211,ImportanceSampling,9,512,0.000011,0.000004,0.000317,0.000340
6241,ImportanceSampling,9,512,0.000010,0.000006,0.000327,0.000350
6271,ImportanceSampling,9,512,0.000011,0.000006,0.000344,0.000368
6301,ImportanceSampling,9,512,0.000010,0.000004,0.000425,0.000447
6331,ImportanceSampling,9,512,0.000011,0.000005,0.000383,0.000408
6361,ImportanceSampling,9,512,0.000010,0.000004,0.000566,0.000588
6391,ImportanceSampling,9,512,0.000009,0.000005,0.000478,0.000501
6421,ImportanceSampling,9,512,0.000011,0.000005,0.000642,0.000667
6451,ImportanceSampling,9,512,0.000009,0.000005,0.000378,0.000399
6481,ImportanceSampling,9,512,0.000009,0.000005,0.000369,0.000392
6511,ImportanceSampling,9,512,0.000010,0.000005,0.000292,0.000314
6541,ImportanceSampling,9,512,0.000010,0.000005,0.000364,0.000386
6571,ImportanceSampling,9,512,0.000010,0.000004,0.000362,0.000384
6601,ImportanceSampling,9,512,0.000010,0.000005,0.000340,0.000361
6631,ImportanceSampling,9,512,0.000009,0.000005,0.000340,0.000362
6661,ImportanceSampling,9,512,0.000009,0.000005,0.000355,0.000377
6691,ImportanceSampling,9,512,0.000010,0.000004,0.000408,0.000430
6721,ImportanceSampling,9,512,0.000012,0.000005,0.000119,0.000147
6751,ImportanceSampling,9,512,0.000009,0.000004,0.000385,0.000406
6781,ImportanceSampling,9,512,0.000010,0.000005,0.000352,0.000374
6811,ImportanceSampling,9,512,0.000009,0.000005,0.000390,0.000412
6841,ImportanceSampling,9,512,0.000009,0.000005,0.000561,0.000589
6871,ImportanceSampling,9,512,0.000010,0.000005,0.000349,0.000371
6901,ImportanceSampling,9,512,0.000011,0.000005,0.000391,0.000414
6931,ImportanceSampling,9,512,0.000009,0.000005,0.000666,0.000693
6961,ImportanceSampling,9,512,0.000010,0.000005,0.000363,0.000386
6991,ImportanceSampling,9,512,0.000009,0.000005,0.000409,0.000431
7021,ImportanceSampling,9,512,0.000011,0.000005,0.000532,0.000556
7051,ImportanceSampling,9,512,0.000009,0.000005,0.000425,0.000446
7081,ImportanceSampling,9,512,0.000009,0.000005,0.000456,0.000477
7111,ImportanceSampling,9,512,0.000010,0.000005,0.000590,0.000620
7141,ImportanceSampling,9,512,0.000010,0.000005,0.000399,0.000420
7171,ImportanceSampling,9,512,0.000010,0.000005,0.000293,0.000315
7201,ImportanceSampling,9,512,0.000009,0.000005,0.000561,0.000583
7231,ImportanceSampling,9,512,0.000009,0.000005,0.000488,0.000509
7261,ImportanceSampling,9,512,0.000009,0.000005,0.000364,0.000384
7291,ImportanceSampling,9,512,0.000009,0.000005,0.000462,0.000482
7321,ImportanceSampling,9,512,0.000009,0.000005,0.000673,0.000699
7351,ImportanceSampling,9,512,0.000011,0.000005,0.000368,0.000392
7381,ImportanceSampling,9,512,0.000010,0.000005,0.000331,0.000355
7411,ImportanceSampling,9,512,0.000009,0.000004,0.000404,0.000424
7441,ImportanceSampling,9,512,0.000010,0.000005,0.000335,0.000356
7471,ImportanceSampling,9,512,0.000009,0.000005,0.000467,0.000488
7501,ImportanceSampling,9,512,0.000009,0.000005,0.000475,0.000496
7531,ImportanceSampling,9,512,0.000009,0.000005,0.000488,0.000510
7561,ImportanceSampling,9,512,0.000010,0.000005,0.000277,0.000299
7591,ImportanceSampling,9,512,0.000009,0.000005,0.000345,0.000367
7621,ImportanceSampling,9,512,0.000015,0.000004,0.000661,0.000693
7651,ImportanceSampling,9,512,0.000009,0.000004,0.000391,0.000412
7681,ImportanceSampling,9,512,0.000009,0.000005,0.000381,0.000402
7711,ImportanceSampling,9,512,0.000009,0.000005,0.000473,0.000494
7741,ImportanceSampling,9,512,0.000008,0.000005,0.000343,0.000363
7771,ImportanceSampling,9,512,0.000010,0.000005,0.000316,0.000338
7801,ImportanceSampling,9,512,0.000010,0.000005,0.000583,0.000612
7831,ImportanceSampling,9,512,0.000009,0.000005,0.000440,0.000461
7861,ImportanceSampling,9,512,0.000011,0.000005,0.000361,0.000385
7891,ImportanceSampling,9,512,0.000010,0.000005,0.000475,0.000497
7921,ImportanceSampling,9,512,0.000010,0.000005,0.000568,0.000590
7951,ImportanceSampling,9,512,0.000009,0.000005,0.000331,0.000351
7981,ImportanceSampling,9,512,0.000009,0.000005,0.000431,0.000452
8011,ImportanceSampling,9,512,0.000009,0.000005,0.000519,0.000541
8041,ImportanceSampling,9,512,0.000010,0.000005,0.000417,0.000439
8071,ImportanceSampling,9,512,0.000011,0.000005,0.000353,0.000377
8101,ImportanceSampling,9,512,0.000010,0.000005,0.000409,0.000431
8131,ImportanceSampling,9,512,0.000010,0.000005,0.000422,0.000445
8161,ImportanceSampling,9,512,0.000014,0.000004,0.000395,0.000421
8191,ImportanceSampling,9,512,0.000010,0.000005,0.000573,0.000596
8221,ImportanceSampling,9,512,0.000009,0.000005,0.000410,0.000432
8251,ImportanceSampling,9,512,0.000009,0.000004,0.000409,0.000430
8281,ImportanceSampling,9,512,0.000009,0.000005,0.000460,0.000481
8311,ImportanceSampling,9,512,0.000010,0.000005,0.000342,0.000365
8341,ImportanceSampling,9,512,0.000009,0.000004,0.000398,0.000418
8371,ImportanceSampling,9,512,0.000009,0.000005,0.000398,0.000420
8401,ImportanceSampling,9,512,0.000008,0.000005,0.000390,0.000410
8431,ImportanceSampling,9,512,0.000010,0.000005,0.000325,0.000347
