frame,probeCount,dispatch_s,readback_s,total_s
1,9,0.000125,0.163675,0.164412
31,9,0.000008,0.156318,0.156338
61,9,0.000008,0.152890,0.152915
91,9,0.000009,0.153099,0.153117
121,9,0.000008,0.152886,0.152906
151,9,0.000009,0.153016,0.153035
181,9,0.000007,0.152989,0.153009
211,9,0.000007,0.152906,0.152924
241,9,0.000008,0.153116,0.153137
271,9,0.000008,0.154769,0.154788
301,9,0.000007,0.153186,0.153203
331,9,0.000007,0.153462,0.153478
361,9,0.000008,0.153611,0.153630
391,9,0.000008,0.153552,0.153575
421,9,0.000008,0.153556,0.153579
451,9,0.000008,0.153468,0.153487
481,9,0.000008,0.153430,0.153448
511,9,0.000008,0.153659,0.153680
541,9,0.000008,0.153580,0.153597
571,9,0.000007,0.153425,0.153441
601,9,0.000008,0.153238,0.153260
631,9,0.000008,0.153460,0.153477
661,9,0.000008,0.153558,0.153579
691,9,0.000008,0.153532,0.153554
721,9,0.000008,0.153148,0.153171
751,9,0.000009,0.153544,0.153563
781,9,0.000009,0.153258,0.153277
811,9,0.000008,0.153126,0.153142
841,9,0.000008,0.153385,0.153402
871,9,0.000008,0.153466,0.153484
901,9,0.000007,0.153524,0.153542
931,9,0.000008,0.153494,0.153511
961,9,0.000008,0.153551,0.153574
991,9,0.000008,0.153176,0.153195
1021,9,0.000007,0.153453,0.153474
1051,9,0.000009,0.153162,0.153181
1081,9,0.000008,0.153520,0.153541
1111,9,0.000008,0.153414,0.153431
1141,9,0.000008,0.153407,0.153424
1171,9,0.000008,0.153405,0.153427
1201,9,0.000008,0.153367,0.153388
1231,9,0.000009,0.153144,0.153162
1261,9,0.000008,0.153571,0.153590
1291,9,0.000009,0.153533,0.153554
1321,9,0.000008,0.153228,0.153246
1351,9,0.000008,0.153499,0.153518
1381,9,0.000009,0.153409,0.153428
1411,9,0.000008,0.153115,0.153133
1441,9,0.000008,0.000045,0.000062
1471,9,0.000007,0.153353,0.153369
1501,9,0.000011,0.153162,0.153185
