frame,probeCount,dispatch_s,readback_s,total_s
1,9,0.000201,0.016270,0.017343
31,9,0.000012,0.013796,0.013821
61,9,0.000011,0.010641,0.010664
91,9,0.000011,0.014620,0.014644
121,9,0.000021,0.009717,0.009762
151,9,0.000023,0.014098,0.014144
181,9,0.000018,0.009668,0.009708
211,9,0.000021,0.013831,0.013877
241,9,0.000014,0.008956,0.008990
271,9,0.000020,0.013692,0.013733
301,9,0.000012,0.008873,0.008899
331,9,0.000015,0.013963,0.013999
361,9,0.000019,0.009913,0.010012
391,9,0.000009,0.011719,0.011741
421,9,0.000010,0.011449,0.011468
451,9,0.000011,0.011079,0.011101
481,9,0.000011,0.014764,0.014788
511,9,0.000011,0.008777,0.008801
541,9,0.000015,0.013314,0.013345
571,9,0.000011,0.007609,0.007632
601,9,0.000010,0.012621,0.012643
631,9,0.000017,0.022173,0.022235
661,9,0.000017,0.007817,0.007848
691,9,0.000010,0.014981,0.015003
721,9,0.000015,0.021456,0.021489
751,9,0.000010,0.000077,0.000098
781,9,0.000008,0.012014,0.012034
811,9,0.000009,0.012377,0.012398
841,9,0.000012,0.022097,0.022126
871,9,0.000014,0.015409,0.015435
901,9,0.000011,0.014695,0.014720
931,9,0.000012,0.014065,0.014093
961,9,0.000017,0.000076,0.000116
991,9,0.000009,0.007241,0.007261
1021,9,0.000011,0.016743,0.016768
1051,9,0.000016,0.015104,0.015131
1081,9,0.000009,0.006504,0.006524
1111,9,0.000009,0.015552,0.015574
1141,9,0.000012,0.011833,0.011857
1171,9,0.000011,0.011917,0.011940
1201,9,0.000011,0.014425,0.014449
1231,9,0.000011,0.014054,0.014080
1261,9,0.000014,0.022635,0.022667
1291,9,0.000009,0.015181,0.015203
1321,9,0.000009,0.008715,0.008738
1351,9,0.000010,0.012532,0.012555
1381,9,0.000010,0.005704,0.005725
1411,9,0.000010,0.013082,0.013102
1441,9,0.000008,0.000051,0.000069
1471,9,0.000008,0.013877,0.013896
1501,9,0.000010,0.010044,0.010064
1531,9,0.000011,0.012424,0.012446
1561,9,0.000012,0.010317,0.010343
