frame,method,probeCount,samples,build_s,dispatch_s,readback_s,total_s
1,ImportanceSampling,9,1671,0.000374,0.000149,0.003926,0.005173
31,ImportanceSampling,9,1671,0.000012,0.000007,0.000485,0.000513
61,ImportanceSampling,9,1671,0.000012,0.000007,0.000349,0.000377
91,ImportanceSampling,9,1671,0.000012,0.000006,0.000060,0.000088
121,ImportanceSampling,9,1671,0.000011,0.000007,0.001318,0.001346
151,ImportanceSampling,9,1671,0.000014,0.000007,0.002302,0.002332
181,ImportanceSampling,9,1671,0.000018,0.000007,0.000488,0.000523
211,ImportanceSampling,9,1671,0.000011,0.000007,0.003467,0.003494
241,ImportanceSampling,9,1671,0.000012,0.000007,0.000727,0.000762
271,ImportanceSampling,9,1671,0.000011,0.000007,0.001245,0.001274
301,ImportanceSampling,9,1671,0.000012,0.000007,0.002862,0.002890
331,ImportanceSampling,9,1671,0.000012,0.000007,0.000720,0.000749
361,ImportanceSampling,9,1671,0.000014,0.000006,0.001262,0.001303
391,ImportanceSampling,9,1671,0.000012,0.000007,0.001784,0.001817
421,ImportanceSampling,9,1671,0.000014,0.000007,0.001622,0.001660
451,ImportanceSampling,9,1671,0.000011,0.000007,0.011426,0.011454
481,ImportanceSampling,9,1671,0.000010,0.000007,0.000053,0.000078
511,ImportanceSampling,9,1671,0.000010,0.000007,0.001165,0.001192
541,ImportanceSampling,9,1671,0.000012,0.000007,0.001602,0.001631
571,ImportanceSampling,9,1671,0.000011,0.000007,0.002207,0.002234
601,ImportanceSampling,9,1671,0.000010,0.000006,0.000067,0.000091
631,ImportanceSampling,9,1671,0.000010,0.000007,0.002141,0.002173
661,ImportanceSampling,9,1671,0.000009,0.000006,0.003467,0.003491
691,ImportanceSampling,9,1671,0.000011,0.000006,0.002691,0.002719
721,ImportanceSampling,9,1671,0.000009,0.000006,0.007572,0.007597
751,ImportanceSampling,9,1671,0.000009,0.000005,0.003189,0.003214
781,ImportanceSampling,9,1671,0.000010,0.000006,0.003571,0.003596
811,ImportanceSampling,9,1671,0.000011,0.000007,0.002334,0.002363
841,ImportanceSampling,9,1671,0.000010,0.000006,0.004087,0.004117
871,ImportanceSampling,9,1671,0.000010,0.000007,0.002159,0.002186
901,ImportanceSampling,9,1671,0.000010,0.000007,0.003843,0.003868
931,ImportanceSampling,9,1671,0.000011,0.000006,0.004261,0.004287
961,ImportanceSampling,9,1671,0.000009,0.000006,0.002064,0.002088
991,ImportanceSampling,9,1671,0.000011,0.000007,0.003659,0.003693
1021,ImportanceSampling,9,1671,0.000013,0.000006,0.002369,0.002397
1051,ImportanceSampling,9,1671,0.000009,0.000005,0.004039,0.004067
1081,ImportanceSampling,9,1671,0.000010,0.000006,0.002230,0.002260
1111,ImportanceSampling,9,1671,0.000011,0.000007,0.008175,0.008203
1141,ImportanceSampling,9,1671,0.000010,0.000006,0.003227,0.003253
1171,ImportanceSampling,9,1671,0.000012,0.000006,0.002329,0.002357
1201,ImportanceSampling,9,1671,0.000021,0.000008,0.002211,0.002254
1231,ImportanceSampling,9,1671,0.000012,0.000008,0.003792,0.003824
1261,ImportanceSampling,9,1671,0.000012,0.000007,0.002076,0.002111
1291,ImportanceSampling,9,1671,0.000015,0.000006,0.000054,0.000085
1321,ImportanceSampling,9,1671,0.000011,0.000007,0.003204,0.003231
1351,ImportanceSampling,9,1671,0.000011,0.000007,0.001453,0.001481
1381,ImportanceSampling,9,1671,0.000012,0.000007,0.001803,0.001836
1411,ImportanceSampling,9,1671,0.000011,0.000006,0.002506,0.002538
1441,ImportanceSampling,9,1671,0.000009,0.000006,0.003649,0.003673
1471,ImportanceSampling,9,1671,0.000014,0.000007,0.002023,0.002055
1501,ImportanceSampling,9,1671,0.000009,0.000006,0.000341,0.000365
1531,ImportanceSampling,9,1671,0.000009,0.000006,0.000054,0.000077
1561,ImportanceSampling,9,1671,0.000010,0.000006,0.000087,0.000112
1591,ImportanceSampling,9,1671,0.000009,0.000006,0.003775,0.003799
1621,ImportanceSampling,9,1671,0.000014,0.000008,0.002130,0.002162
1651,ImportanceSampling,9,1671,0.000011,0.000006,0.003344,0.003371
1681,ImportanceSampling,9,1671,0.000010,0.000006,0.000057,0.000081
1711,ImportanceSampling,9,1671,0.000011,0.000006,0.002097,0.002124
1741,ImportanceSampling,9,1671,0.000011,0.000007,0.000045,0.000070
1771,ImportanceSampling,9,1671,0.000011,0.000007,0.003003,0.003030
1801,ImportanceSampling,9,1671,0.000011,0.000006,0.003355,0.003380
1831,ImportanceSampling,9,1671,0.000011,0.000006,0.002375,0.002406
1861,ImportanceSampling,9,1671,0.000010,0.000005,0.002465,0.002490
1891,ImportanceSampling,9,1671,0.000011,0.000005,0.007348,0.007375
1921,ImportanceSampling,9,1671,0.000011,0.000006,0.007560,0.007586
1951,ImportanceSampling,9,1671,0.000010,0.000007,0.001234,0.001260
1981,ImportanceSampling,9,1671,0.000011,0.000007,0.001595,0.001622
2011,ImportanceSampling,9,1671,0.000009,0.000006,0.001940,0.001970
2041,ImportanceSampling,9,1671,0.000012,0.000007,0.007313,0.007341
2071,ImportanceSampling,9,1671,0.000010,0.000006,0.004510,0.004535
2101,ImportanceSampling,9,1671,0.000009,0.000006,0.002127,0.002152
2131,ImportanceSampling,9,1671,0.000009,0.000006,0.003783,0.003807
2161,ImportanceSampling,9,1671,0.000011,0.000007,0.003557,0.003584
2191,ImportanceSampling,9,1671,0.000010,0.000006,0.001997,0.002028
2221,ImportanceSampling,9,1671,0.000010,0.000005,0.007573,0.007597
2251,ImportanceSampling,9,1671,0.000009,0.000006,0.003169,0.003194
2281,ImportanceSampling,9,1671,0.000010,0.000005,0.004820,0.004846
2311,ImportanceSampling,9,1671,0.000009,0.000005,0.002236,0.002260
2341,ImportanceSampling,9,1671,0.000009,0.000006,0.004010,0.004042
2371,ImportanceSampling,9,1671,0.000009,0.000005,0.001995,0.002020
2401,ImportanceSampling,9,1671,0.000012,0.000006,0.003872,0.003905
2431,ImportanceSampling,9,1671,0.000011,0.000007,0.002258,0.002286
2461,ImportanceSampling,9,1671,0.000010,0.000006,0.004152,0.004185
2491,ImportanceSampling,9,1671,0.000009,0.000006,0.002158,0.002184
2521,ImportanceSampling,9,1671,0.000009,0.000006,0.002090,0.002115
2551,ImportanceSampling,9,1671,0.000009,0.000007,0.002155,0.002180
2581,ImportanceSampling,9,1671,0.000012,0.000007,0.009974,0.010003
2611,ImportanceSampling,9,1671,0.000010,0.000006,0.002861,0.002886
2641,ImportanceSampling,9,1671,0.000009,0.000006,0.001779,0.001809
2671,ImportanceSampling,9,1671,0.000011,0.000007,0.003212,0.003240
2701,ImportanceSampling,9,1671,0.000009,0.000006,0.001721,0.001746
2731,ImportanceSampling,9,1671,0.000009,0.000006,0.002623,0.002651
2761,ImportanceSampling,9,1671,0.000012,0.000006,0.003392,0.003422
